STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,airpol,Air pollutants and greenhouse gases,src_nfr,"Source sectors for emissions of air pollutants (Nomenclature for reporting, CLRTAP)",geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,1995,,18,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,1996,,20,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,1997,,21,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,1998,,21,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,1999,,18,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2000,,18,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2001,,8,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2002,,15,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2003,,18,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2004,,15,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2005,,14,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2006,,16,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2007,,17,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2008,,9,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2009,,7,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2010,,6,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2011,,9,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2012,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2013,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2014,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2015,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2016,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2017,,2,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2018,,2,,,,,
