STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,tax,Taxes,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2017,,7759,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2018,,7402,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2019,,7696,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2020,,6818,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2021,,7701,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2022,,11635,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,EL,Greece,2023,,9257,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2014,,19374,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2015,,20868,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2016,,20840,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2017,,21434,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2018,,22158,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2019,,22117,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2020,,19697,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2021,,21310,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2022,,20665,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,ES,Spain,2023,,24640,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2014,,5957,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2015,,6118,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2016,,6709,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2017,,6693,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2018,,6848,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2019,,6730,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2020,,6487,,,,,
